"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","581","test_create_duplicate_folder_conflict","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
"","1751","test_copy_resource_post","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
"","1472","test_delete_resource_delete","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
"","541","test_get_resource_meta_get","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
"","1862","test_create_folder_put","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
"","377","test_get_nonexistent_resource_not_found","","2026-09-23","passed","2026-09-23","TestYandexDiskResources","test_disk_api","",""
